Ticker,Weight,ExpectedReturn,Volatility,VarianceContribution,AllocationTag,SharpeContribution
LLY,0.22899076582991998,0.31368324919502827,0.29503647012110107,18.283968377193577,major allocation,0.21629831264909727
NVDA,0.19796969019978997,0.671943814722515,0.4965868214335441,37.43453987464658,meaningful allocation,0.25392451880071387
WMT,0.1850370793812233,0.20819524397276454,0.21702205137363337,9.03158317459424,meaningful allocation,0.14766951977734513
ABBV,0.06963234331443212,0.2115643061955025,0.26151644817557235,3.6409929977236093,meaningful allocation,0.04701266964984788
AVGO,0.062068465102405504,0.43327297992651664,0.3853403979234838,7.4263613570720395,meaningful allocation,0.06415157271080797
AMD,0.05555126047126833,0.6243697847756072,0.5896586668160423,9.871819580325466,meaningful allocation,0.055524045130636884
CAT,0.04773521894718839,0.2760607990473561,0.30377376147462604,3.4514257627687406,small allocation,0.03788046066339046
TSLA,0.04647564302595047,0.5051765283214136,0.5899042267257966,6.589008143649194,small allocation,0.037042888488412196
WEC,0.04191000223167987,0.1364095252810156,0.21841477088577033,1.2615136934575804,small allocation,0.019458727143796168
AEP,0.03178350354907185,0.13451968850894866,0.2111282684617154,0.9453507112520734,small allocation,0.014981813643303133
DE,0.02729090827973092,0.2500721534919721,0.2994281675449503,1.7701450014735083,small allocation,0.019602412366874225
TMUS,0.005555119667339395,0.20873654042442435,0.26418864138403286,0.2932913258433802,small allocation,0.003653174745103013
